feature,cohens_d,power,power_level
spread1,1.5808126528064974,0.9999999999999781,High
PPE,1.4473773639546537,0.9999999999924275,High
spread2,1.179528059138567,0.9999998591466563,High
MDVP:Fo(Hz),0.9591192106338624,0.9999303624505224,High
MDVP:Flo(Hz),0.9493635739212746,0.9999118532451564,High
MDVP:Shimmer,0.912397838894871,0.9997909647787521,High
MDVP:APQ,0.903475612669028,0.9997443213808198,High
HNR,0.8954807350915429,0.9996944545210068,High
Shimmer:APQ5,0.8661302426854676,0.9994231565249089,High
MDVP:Shimmer(dB),0.8648602151921393,0.9994074659192966,High
Shimmer:APQ3,0.8562154765821892,0.9992897393689795,High
Shimmer:DDA,0.8561913526266789,0.9992893825995907,High
D2,0.8356136184977294,0.9989171715375212,High
MDVP:Jitter(Abs),0.8312335077273467,0.9988177881561761,High
RPDE,0.7491926527311746,0.9945621454212018,High
MDVP:PPQ,0.6963994607551804,0.9870962709895975,High
MDVP:Jitter(%),0.6689584046310668,0.9804925134764887,High
MDVP:RAP,0.6390062156443274,0.9702077439411477,High
Jitter:DDP,0.6389508495281028,0.9701852059126,High
DFA,0.5501772180598905,0.9114144779338201,High
NHR,0.44555272753676795,0.7642874503268534,Medium
MDVP:Fhi(Hz),0.3890981301094337,0.6482378070698838,Medium
